accuracy,loss,val_accuracy,val_loss
0.7518359422683716,3.26285457611084,0.9418749809265137,0.2626272439956665
0.9114843606948853,0.34970465302467346,0.9584375023841858,0.19175300002098083
0.9371093511581421,0.24781790375709534,0.9564062356948853,0.19732986390590668
0.9581640362739563,0.16274875402450562,0.9739062786102295,0.12992671132087708
0.9603515863418579,0.15829633176326752,0.9729687571525574,0.1270311027765274
0.9665234088897705,0.12951511144638062,0.9725000262260437,0.14515255391597748
0.9669140577316284,0.13443666696548462,0.9770312309265137,0.12024787813425064
0.9595702886581421,0.1774027794599533,0.9750000238418579,0.13145774602890015
0.9746484160423279,0.09932069480419159,0.9801562428474426,0.1188623458147049
0.9766015410423279,0.09226983040571213,0.9789062738418579,0.10487549006938934
0.9736328125,0.11710307747125626,0.9784374833106995,0.12709398567676544
0.9824609160423279,0.0725480169057846,0.9792187213897705,0.10768759995698929
0.9848828315734863,0.059443555772304535,0.9554687738418579,0.20895826816558838
0.9748437404632568,0.13405749201774597,0.9771875143051147,0.11198548227548599
0.9849609136581421,0.058464016765356064,0.981249988079071,0.14027315378189087
